,gender,genre,count
0,F,Action,391
1,F,Adventure,252
2,F,Animation,89
3,F,Comedy,1314
4,F,Crime,396
5,F,Documentary,259
6,F,Drama,3027
7,F,Fantasy,43
8,F,Film-Noir,209
9,F,Horror,147
10,F,Musical,184
11,F,Mystery,210
12,F,Romance,830
13,F,Sci-Fi,191
14,F,Thriller,630
15,F,War,331
16,F,Western,57
17,M,Action,994
18,M,Adventure,659
19,M,Animation,222
20,M,Comedy,3487
21,M,Crime,1018
22,M,Documentary,714
23,M,Drama,7679
24,M,Fantasy,92
25,M,Film-Noir,517
26,M,Horror,377
27,M,Musical,454
28,M,Mystery,561
29,M,Romance,2105
30,M,Sci-Fi,432
31,M,Thriller,1608
32,M,War,895
33,M,Western,195
