,gender,genre,count
0,F,Action,454
1,F,Adventure,298
2,F,Animation,82
3,F,Comedy,1406
4,F,Crime,402
5,F,Documentary,259
6,F,Drama,2885
7,F,Fantasy,36
8,F,Film-Noir,216
9,F,Horror,155
10,F,Musical,209
11,F,Mystery,252
12,F,Romance,898
13,F,Sci-Fi,209
14,F,Thriller,612
15,F,War,362
16,F,Western,86
17,M,Action,1087
18,M,Adventure,729
19,M,Animation,222
20,M,Comedy,3585
21,M,Crime,1018
22,M,Documentary,617
23,M,Drama,7494
24,M,Fantasy,103
25,M,Film-Noir,540
26,M,Horror,408
27,M,Musical,537
28,M,Mystery,636
29,M,Romance,2305
30,M,Sci-Fi,529
31,M,Thriller,1602
32,M,War,947
33,M,Western,209
